total_amount,generated_clients,attended_clients,clients_type1,clients_type2,clients_type3,clients_type4,final_time,avg_wait_seller,avg_wait_technician,avg_wait_special,avg_time_in_system,seller_utilization,technician_utilization,special_utilization,seller_idle_pct,technician_idle_pct,special_idle_pct
5400,22,22,12,4,2,4,466.4365765808874,0,0,0,16.45762469690335,11.540369218521844,15.378647951787732,6.214097568400144,88.45963078147815,84.62135204821227,93.78590243159985
3450,23,23,16,2,4,1,501.31034458421925,0,0,0,20.37331539337868,13.03484447089745,20.308019929618744,10.628387529288364,86.96515552910255,79.69198007038125,89.37161247071164
7150,23,23,8,9,2,4,486.75841180784806,0,0,0,22.595130583245407,11.753736486053654,27.53983603555164,2.1413529659553445,88.24626351394635,72.46016396444836,97.85864703404465
7750,22,22,8,5,3,6,479.1800961256969,0,0,0,17.221187975254384,12.725812140983066,12.830254590235041,14.98805683391136,87.27418785901693,87.16974540976496,85.01194316608864
6250,23,23,9,10,1,3,499.7728170702241,0,0,0,23.574148003823282,11.177093432253148,28.497287921143265,5.113408557050459,88.82290656774686,71.50271207885673,94.88659144294954
5450,21,21,10,7,0,4,504.12671002679025,0,0,0,25.221344753388944,12.341892531922314,28.553199410744007,0.0,87.65810746807769,71.44680058925599,100.0
7700,23,23,11,2,2,8,484.47035103772805,0,0,0,10.529376685587906,12.174386177989756,8.31238118133287,1.1673473851305853,87.82561382201024,91.68761881866713,98.83265261486942
6950,23,23,9,7,3,4,518.8627107332192,0,0,0,28.867332698083256,12.77480636584522,33.06254551968056,13.585386554250153,87.22519363415478,66.93745448031945,86.41461344574985
7000,23,23,10,5,3,5,489.95471841990275,0,0,0,18.333308041061333,12.75570242669673,20.29759504933612,1.4429110286837492,87.24429757330327,79.70240495066388,98.55708897131625
3250,20,20,13,5,0,2,480.5904375938356,0,0,0,25.780262877597494,10.27526557040623,28.955743616392372,0.0,89.72473442959377,71.04425638360763,100.0
7000,23,23,10,5,3,5,488.06941236345705,0,0,0,20.339363720250333,11.959544746846934,17.618429168120596,16.768737551176834,88.04045525315307,82.3815708318794,83.23126244882317
5000,23,23,13,5,2,3,474.8826715272475,0,0,0,20.11375275089014,12.43720453660754,23.314406906962436,1.5607688039128726,87.56279546339246,76.68559309303757,98.43923119608712
7400,22,22,6,9,4,3,507.1059527968318,0,0,0,27.88436101764203,11.275510613347642,25.96980516339417,19.998174784398966,88.72448938665235,74.03019483660583,80.00182521560103
5800,20,20,10,3,2,5,506.73073345823394,0,0,0,21.188967396257702,10.346383085281111,21.39923628169576,3.3968891354242325,89.6536169147189,78.60076371830424,96.60311086457577
6250,24,24,13,5,0,6,511.70215283312734,0,0,0,17.30087042294657,12.930415032989004,20.21450734958495,0.0,87.069584967011,79.78549265041505,100.0
5600,22,22,11,6,1,4,471.8792280739462,0,0,0,12.807798024187498,11.453350357627105,11.36802878802289,1.6916205315364756,88.5466496423729,88.63197121197712,98.30837946846353
6900,21,21,9,4,2,6,515.032639712668,0,0,0,19.33349130129681,11.07178032295013,19.115365986664173,5.094365837280745,88.92821967704987,80.88463401333583,94.90563416271925
9100,23,23,6,6,5,6,483.1442969926935,0,0,0,14.80014375777972,10.090435133677872,9.26105717294901,22.95331371982507,89.90956486632213,90.73894282705099,77.04668628017492
5100,22,22,12,6,0,4,536.4095756791405,0,0,0,24.065452364702967,11.722142982869691,28.95190134638308,0.0,88.27785701713032,71.04809865361692,100.0
7500,23,23,9,5,4,5,477.01298342212124,0,0,0,16.91697535875673,11.728756482977179,11.352584017234564,23.545241909717934,88.27124351702282,88.64741598276544,76.45475809028207
7350,22,22,7,6,6,3,510.5433062870417,0,0,0,19.821281859443594,12.33576927611013,17.692085307223184,13.099747381893357,87.66423072388987,82.30791469277682,86.90025261810665
5800,22,22,9,8,3,2,507.80584981281174,0,0,0,25.554594754964395,10.460889704352944,29.032739927569374,9.105226768839465,89.53911029564705,70.96726007243063,90.89477323116054
8550,22,22,6,8,1,7,474.1576425618693,0,0,0,16.329194761339515,11.613020151637068,16.2673277305626,2.8141191611774916,88.38697984836293,83.7326722694374,97.18588083882251
7450,21,21,9,2,3,7,476.4758190158077,0,0,0,18.376243222948887,11.072516426900949,15.066019268884773,9.37683382676448,88.92748357309905,84.93398073111523,90.62316617323552
6750,22,22,7,10,2,3,486.99463504830754,0,0,0,18.782715499828633,10.881284969558589,20.73304796794607,2.1257321979258306,89.11871503044141,79.26695203205392,97.87426780207417
5650,22,22,9,9,2,2,469.54543430173675,0,0,0,20.377490501493824,12.639275859418037,18.90671872934342,11.398123558313682,87.36072414058197,81.09328127065658,88.60187644168631
4700,24,24,13,7,3,1,495.35482905935396,0,0,0,22.697941287450742,14.670841831702852,26.506702352945265,4.627915715012213,85.32915816829714,73.49329764705473,95.37208428498779
6000,21,21,9,5,4,3,483.4177143166153,0,0,0,17.963381539229868,10.591204561433829,16.671983763807255,7.391433819841245,89.40879543856617,83.32801623619275,92.60856618015876
5550,23,23,13,3,3,4,519.2753667622461,0,0,0,25.95573154367745,11.162823883048798,27.54865038319948,19.39961473109174,88.8371761169512,72.45134961680051,80.60038526890825
6650,22,22,10,4,3,5,467.5193464778028,0,0,0,11.881724021139684,11.538772659773972,7.224754347547228,9.706093401367243,88.46122734022603,92.77524565245277,90.29390659863276
3900,22,22,14,4,2,2,483.9740888650717,0,0,0,21.79059957417844,11.931860683277918,23.755716235166922,4.742711309594581,88.06813931672208,76.24428376483309,95.25728869040542
